key,class_name,class_description
TransitionManager_beginDelayedTransition,transition manager,"this class manages the set of transitions that fire when there is a change of scene. to use the manager, add scenes along with transition objects with calls to settransition(android.transition.scene, android.transition.transition) or settransition(android.transition.scene, android.transition.scene, android.transition.transition). setting specific transitions for scene changes is not required; by default, a scene change will use autotransition to do something reasonable for most situations. specifying other transitions for particular scene changes is only necessary if the application wants different transition behavior in these situations."
LocalActivityManager_getCurrentId,local activity manager,
Menu_setGroupCheckable,menu,interface for managing the items in a menu.
DataSetObserver_onInvalidated,data set observer,"receives call backs when a data set has been changed, or made invalid. the typically data sets that are observed are cursors or adapters. datasetobserver must be implemented by objects which are added to a datasetobservable."
ShapeDrawable_getConstantState,shape drawable,"a drawable object that draws primitive shapes. a shapedrawable takes a shape object and manages its presence on the screen. if no shape is given, then the shapedrawable will default to a rectshape."
JSONTokener_skipTo,json tokener,parses a json (rfc 4627) encoded string into the corresponding object. most clients of this class will use only need the constructor and nextvalue() method. example usage:
Buffer_hasRemaining,buffer,a container for data of a specific primitive type.
InputConnectionWrapper_getTextBeforeCursor,input connection wrapper,
SignatureSpi_clone,signature spi,"this class defines the service provider interface (spi) for the signature class, which is used to provide the functionality of a digital signature algorithm. digital signatures are used for authentication and integrity assurance of digital data.."
DrmEvent_getType,drm event,
TransformerHandler_getTransformer,transformer handler,a transformerhandler listens for sax contenthandler parse events and transforms them to a result.
ContentHandler_endDocument,content handler,receive notification of the logical content of a document.
